Dataset_CIFAR-10,Dataset_CIFAR-100,Dataset_COCO,Dataset_COCO minivar,Dataset_CityScapes,Dataset_ImageNet,Dataset_KITTI,Dataset_MNIST,Dataset_NYU Depth v2,Dataset_SVHN,Dataset_ShapeNet,Task_Depth Estimation,Task_Image Classification,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,accuracy_norm,difficulty
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.844776119402985,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.844776119402985,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8417910447761191,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8408955223880593,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8394029850746266,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8388059701492536,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8388059701492536,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8388059701492536,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8358208955223881,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8328358208955222,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8328358208955222,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8322388059701491,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8310447761194028,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8298507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8298507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8298507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8298507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8298507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8271641791044775,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8268656716417907,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8268656716417907,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8268656716417907,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8238805970149252,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8238805970149252,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8238805970149252,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8238805970149252,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8238805970149252,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8226865671641788,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8214925373134327,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8208955223880597,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8191044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8179104477611938,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8149253731343283,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8149253731343283,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8149253731343283,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8146268656716416,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8119402985074624,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8119402985074624,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8119402985074624,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8119402985074624,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8119402985074624,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8098507462686566,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8092537313432836,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8089552238805969,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8089552238805969,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8089552238805969,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8089552238805969,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8089552238805969,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8059701492537313,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8059701492537313,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8059701492537313,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8059701492537313,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8029850746268654,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8005970149253729,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7999999999999999,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.797014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.797014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.797014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7940298507462685,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.791044776119403,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7907462686567163,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7880597014925371,0.7801000883132175
