name|accuracy|params|hardware_req|tags
V-MoE-H/14 (Every-2)|88.36|7200000000.0|null|['JFT-300M', 'Transformer']
MaxViT-L (384res, 21K)|88.32|null|null|['ImageNet-22k']
Unicom (ViT-L/14@336px) (Finetuned)|88.3|null|null|[']']
PeCo (ViT-H, 448)|88.3|656000000.0|null|['Transformer', 'ImageNet-1k only']
MaxViT-B (384res, 21K)|88.24|null|null|['ImageNet-22k']
V-MoE-H/14 (Last-5)|88.23|2700000000.0|null|['JFT-300M', 'Transformer']
dBOT ViT-H (CLIP as Teacher)|88.2|null|null|['CLIP data ']
CAFormer-B36 (384 res, 21K)|88.1|99000000.0|72.2|['ImageNet-22k']
VIT-H/14|88.08|656000000.0|null|['JFT-300M', 'Transformer']
ViT-H@224 (cosub)|88.0|null|null|['ImageNet-22k']
UniRepLKNet-XL++|88.0|null|null|[']']
InternImage-XL|88.0|335000000.0|163.0|[']']
MViTv2-H (mageNet-21k pretrain)|88.0|667000000.0|120.6|['ImageNet-22k']
Mixer-H/14 (JFT-300M pre-train)|87.94|null|null|['JFT-300M', 'MLP']
UniRepLKNet-L++|87.9|null|null|[']']
dBOT ViT-L (CLIP as Teacher)|87.8|null|null|['CLIP data ']
MogaNet-XL (384res)|87.8|181000000.0|102.0|[']']
VAN-B6 (22K, 384res)|87.8|200000000.0|114.3|['ImageNet-22k']
RepLKNet-XL|87.8|335000000.0|128.7|['ImageNet-22k']
ConvNeXt-XL (ImageNet-22k)|87.8|350000000.0|179.0|['CNN', 'ImageNet-22k']
MAE (ViT-H, 448)|87.8|656000000.0|null|['Transformer', 'ImageNet-1k only']
ViT-L/16|87.76|null|null|['JFT-300M', 'Transformer']
HorNet-L (GF)|87.7|null|101.8|['ImageNet-22k']
InternImage-L|87.7|223000000.0|108.0|[']']
ConvFormer-B36 (384 res, 21K)|87.6|100000000.0|66.5|['ImageNet-22k']
BiT-L (ResNet)|87.54|null|null|['ImageNet-22k', 'ResNet']
PeCo (ViT-H, 224)|87.5|null|null|['Transformer', 'ImageNet-1k only']
ViT-L@224 (cosub)|87.5|null|null|['ImageNet-22k']
CAFormer-M36 (384 res, 21K)|87.5|56000000.0|42.0|['ImageNet-22k']
CSWin-L (384 res,ImageNet-22k pretrain)|87.5|173000000.0|96.8|['ImageNet-22k', 'Transformer']
DaViT-L (ImageNet-22k)|87.5|196800000.0|103.0|['ImageNet-22k']
DiNAT-Large (11x11ks; 384res; Pretrained on IN22K@224)|87.5|200000000.0|92.4|['ImageNet-22k']
V-MoE-L/16 (Every-2)|87.41|3400000000.0|null|['JFT-300M', 'Transformer']
DiNAT-Large (384x384; Pretrained on ImageNet-22K @ 224x224)|87.4|null|89.7|['ImageNet-22k']
data2vec 2.0|87.4|null|null|['ImageNet-1k only']
UniRepLKNet-B++|87.4|null|null|[']']
CAFormer-B36 (224 res, 21K)|87.4|99000000.0|23.2|['ImageNet-22k']
UniNet-B6|87.4|117000000.0|51.0|['ImageNet-22k']
DiNAT_s-Large (384res; Pretrained on IN22K@224)|87.4|197000000.0|101.5|['ImageNet-22k']
Swin-L (384 res, ImageNet-22k pretrain)|87.3|197000000.0|103.9|['ImageNet-22k', 'Transformer']
VOLO-D5+HAT|87.3|295500000.0|412.0|['ImageNet-1k only', 'Transformer']
EfficientNetV2 (PolyLoss)|87.2|null|null|[']']
ELSA-VOLO-D5 (512*512)|87.2|298000000.0|437.0|['Transformer', 'ImageNet-1k only']
Bamboo (Bamboo-H)|87.1|null|null|['ImageNet-1k only']
Swin-L@224 (cosub)|87.1|null|null|['ImageNet-22k']
FixEfficientNet-B7|87.1|66000000.0|82.0|['JFT-300M', 'EfficientNet']
FAN-L-Hybrid++|87.1|76800000.0|null|[']']
SwinV2-B|87.1|88000000.0|null|[']']
VOLO-D5|87.1|296000000.0|null|['ImageNet-1k only']
PatchConvNet-L120-21k-384|87.1|334300000.0|null|['PatchConvnet', 'ImageNet-22k']
16-TokenLearner B/16 (21)|87.07|null|null|['Transformer', 'JFT-300M']
MAE+DAT (ViT-H)|87.02|null|null|[']']
UniNet-B5|87.0|72900000.0|20.4|['ImageNet-22k']
