name|accuracy|params|hardware_req|tags
CA-Swin-S (+MixPro)|83.7|null|null|[']']
GTP-ViT-L/P8|83.7|null|null|[']']
ConvFormer-S18 (224 res, 21K)|83.7|27000000.0|3.9|['ImageNet-22k']
DAT-S|83.7|50000000.0|9.0|[']']
NAT-Small|83.7|51000000.0|7.8|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']
QnA-ViT-Base|83.7|56000000.0|9.7|[']']
RevBiFPN-S5|83.7|82000000.0|21.8|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']
Pyramid ViG-B|83.7|92600000.0|16.8|[']']
Twins-SVT-L|83.7|99200000.0|15.1|['ImageNet-1k only', 'Transformer']
TransBoost-ViT-S|83.67|22050000.0|null|[']']
XCiT-S|83.65|null|null|[']']
MaxViT-T (224res)|83.62|null|null|[']']
Wave-ViT-S|83.61|null|null|[']']
LITv2-B|83.6|null|13.2|[']']
MultiGrain PNASNet (500px)|83.6|null|null|['CNN', 'ImageNet-1k only']
MAE (ViT-L)|83.6|null|null|['Transformer', 'ImageNet-1k only']
PAT-B|83.6|null|null|[']']
FixEfficientNet-B2|83.6|9200000.0|null|['ImageNet-1k only', 'EfficientNet']
CAFormer-S18 (224 res)|83.6|26000000.0|4.1|[']']
IPT-B|83.6|39300000.0|7.8|[']']
ViTAE-B-Stage|83.6|48500000.0|27.6|['Transformer', 'ImageNet-1k only']
ResT-Large|83.6|51630000.0|7.9|['ImageNet-1k only', 'Transformer']
NFNet-F0|83.6|71500000.0|12.38|['CNN', 'ImageNet-1k only']
SE-ResNeXt-101, 64x4d, S=2(320px)|83.6|98000000.0|38.2|[']']
ResMLP-B24/8|83.6|116000000.0|null|['ImageNet-1k only', 'MLP']
BoTNet T5|83.5|null|19.3|['ImageNet-1k only', 'Transformer']
InternImage-T|83.5|30000000.0|5.0|[']']
PatchConvNet-B60|83.5|99400000.0|null|['ImageNet-1k only', 'PatchConvnet']
ViT-B (hMLP + BeiT)|83.4|null|null|[']']
UniFormer-S|83.4|22000000.0|3.6|[']']
ViT-S @384 (DeiT III)|83.4|22000000.0|15.5|[']']
MogaNet-S|83.4|25000000.0|5.0|['CNN']
GC ViT-T|83.4|28000000.0|4.7|[']']
ResNeXt-101 32x4d (semi-weakly sup.)|83.4|42000000.0|null|['ResNeXt']
Sequencer2D-L|83.4|54000000.0|16.6|[']']
sMLPNet-B (ImageNet-1k)|83.4|65900000.0|null|['ImageNet-1k only', 'MLP']
SE-ResNeXt-101, 64x4d, S=2(416px)|83.34|98000000.0|61.1|['ImageNet-1k only', 'ResNeXt']
CvT-21 (384 res)|83.3|null|24.9|['ImageNet-1k only', 'Transformer']
"T2T-ViT-14|384"|83.3|null|34.2|['ImageNet-1k only', 'Transformer']
CeiT-S (384 finetune res)|83.3|24200000.0|12.9|['ImageNet-1k only', 'Transformer']
LV-ViT-S|83.3|26000000.0|6.6|[']']
MOAT-0 1K only|83.3|27800000.0|5.7|[']']
EfficientNet-B5|83.3|30000000.0|9.9|['ImageNet-1k only', 'EfficientNet']
Transformer local-attention (NesT-S)|83.3|38000000.0|10.4|['ImageNet-1k only', 'Transformer']
ViL-Medium-D|83.3|39700000.0|8.7|['ImageNet-1k only', 'Transformer']
LITv2-M|83.3|49000000.0|7.5|[']']
Shift-B|83.3|88000000.0|15.2|[']']
MultiGrain PNASNet (450px)|83.2|null|null|['CNN', 'ImageNet-1k only']
Meta Pseudo Labels (ResNet-50)|83.2|null|null|[']']
UniRepLKNet-T|83.2|null|null|[']']
TinyViT-11M-distill (21k)|83.2|11000000.0|2.0|['ImageNet-22k', 'Transformer']
ReXNet-R_2.0|83.2|16500000.0|null|[']']
QnA-ViT-Small|83.2|25000000.0|4.4|[']']
NAT-Tiny|83.2|28000000.0|4.3|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']
SE-CoTNetD-101|83.2|40900000.0|8.5|[']']
Next-ViT-B|83.2|44800000.0|8.3|[']']
PVTv2-B3|83.2|45200000.0|6.9|['Transformer', 'ImageNet-1k only']
PatchConvNet-S120|83.2|47700000.0|null|['ImageNet-1k only', 'PatchConvnet']
ViL-Base-D|83.2|55700000.0|13.4|['ImageNet-1k only', 'Transformer']
CycleMLP-B5|83.2|76000000.0|12.3|['ImageNet-1k only', 'MLP']
MultiGrain SENet154 (450px)|83.1|null|null|['CNN', 'ImageNet-1k only']
DeepVit-L* (DeiT training recipe)|83.1|null|null|['ImageNet-1k only', 'Transformer']
ViT-S @224 (DeiT III, 21k)|83.1|null|null|[']']
MKD ViT-S|83.1|null|null|[']']
ViT-S@224 (cosub)|83.1|null|null|['ImageNet-22k']
PAT-S|83.1|null|null|[']']
TinyViT-21M|83.1|21000000.0|4.3|['ImageNet-1k only', 'Transformer']
sMLPNet-S (ImageNet-1k)|83.1|48600000.0|null|['ImageNet-1k only', 'MLP']
Pyramid ViG-M|83.1|51700000.0|8.9|[']']
SwinV2-Ti|83.09|null|null|[']']
gSwin-S|83.01|39800000.0|7.0|['ImageNet-1k only', 'Swin-Transformer', 'MLP']
MultiGrain SENet154 (400px)|83.0|null|null|['CNN', 'ImageNet-1k only']
CvT-13 (384 res)|83.0|20000000.0|16.3|['ImageNet-1k only', 'Transformer']
ResNet50_vd_ssld|83.0|25580000.0|null|['ImageNet-1k only', 'ResNet']
ConvFormer-S18 (224 res)|83.0|27000000.0|3.9|['ImageNet-1k only']
MViT-B-16|83.0|37000000.0|null|['Transformer', 'ImageNet-1k only']
ResNeSt-101|83.0|48000000.0|null|['CNN', 'ImageNet-1k only']
RevBiFPN-S4|83.0|48700000.0|10.6|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']
ZenNAS (0.8ms)|83.0|183000000.0|13.9|[']']
NASViT (supernet)|82.9|null|1.881|[']']
DeiT-B (+MixPro)|82.9|null|null|[']']
IPT-S|82.9|24300000.0|4.7|[']']
ViL-Medium-W|82.9|39800000.0|null|['ImageNet-1k only', 'Transformer']
GFNet-H-B|82.9|54000000.0|8.6|['Transformer', 'ImageNet-1k only']
Oct-ResNet-152 (SE)|82.9|66800000.0|22.2|['CNN', 'ImageNet-1k only']
PNASNet-5|82.9|86100000.0|50.0|['CNN', 'ImageNet-1k only']
Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)|82.85|88200000.0|31.4|['CNN', 'ImageNet-1k only']
GTP-LV-ViT-M/P8|82.8|null|8.0|[']']
FunMatch - T384+224 (ResNet-50)|82.8|null|null|['CNN', 'ImageNet-1k only']
CA-Swin-T (+MixPro)|82.8|null|null|[']']
VAN-B2|82.8|26600000.0|5.0|[']']
DaViT-T|82.8|28300000.0|null|['ImageNet-1k only', 'Transformer']
ReXNet_3.0|82.8|34700000.0|3.4|['ImageNet-1k only']
Sequencer2D-M|82.8|38000000.0|11.1|[']']
CrossViT-18+|82.8|44300000.0|9.5|['ImageNet-1k only', 'Transformer']
Shift-S|82.8|50000000.0|8.5|[']']
HRFormer-B|82.8|50300000.0|13.7|[']']
BoTNet T4|82.8|54700000.0|10.9|['ImageNet-1k only', 'Transformer']
"CCT-14/7x2 | 384"|82.71|null|null|['Transformer', 'ImageNet-1k only']
MultiGrain SENet154 (500px)|82.7|null|null|['CNN', 'ImageNet-1k only']
PVT-M (+MixPro)|82.7|null|null|[']']
ASF-former-S|82.7|19300000.0|null|[']']
Container Container|82.7|22100000.0|8.1|[']']
UniNet-B2|82.7|22500000.0|2.4|[']']
DiNAT-Tiny|82.7|28000000.0|4.3|['Neighborhood Attention', 'Transformer', 'NAT Transformer', 'ImageNet-1k only']
ELSA-Swin-T|82.7|28000000.0|4.8|[']']
NASNET-A(6)|82.7|88900000.0|23.8|['CNN', 'ImageNet-1k only']
RVT-B*|82.7|91800000.0|17.7|['ImageNet-1k only', 'Transformer']
FBNetV5-C-CLS|82.6|null|1.0|[']']
MultiGrain PNASNet (400px)|82.6|null|null|['CNN', 'ImageNet-1k only']
ViT-S-24x2|82.6|null|null|[']']
FixEfficientNet-B1|82.6|7800000.0|null|['ImageNet-1k only', 'EfficientNet']
EfficientNet-B4|82.6|19000000.0|4.2|['ImageNet-1k only', 'EfficientNet']
DeiT-B|82.6|22000000.0|null|['ImageNet-1k only', 'Transformer']
T2T-ViTt-24|82.6|64400000.0|30.0|['ImageNet-1k only', 'Transformer']
ViT-S|82.54|null|null|[']']
CvT-21|82.5|null|7.1|['ImageNet-1k only', 'Transformer']
TransNeXt-Micro (IN-1K supervised, 224)|82.5|12800000.0|2.7|['Transformer', 'ImageNet-1k only']
FixResNet-50 Billion-scale@224|82.5|25600000.0|null|[']']
Next-ViT-S|82.5|31700000.0|5.8|[']']
LeViT-384|82.5|39400000.0|2.334|['ImageNet-1k only', 'Transformer']
CrossViT-18|82.5|43300000.0|9.0|['ImageNet-1k only', 'Transformer']
MetaFormer PoolFormer-M48|82.5|73000000.0|23.2|['Transformer', 'ImageNet-1k only']
ConViT-B+|82.5|152000000.0|30.0|['ImageNet-1k only', 'Transformer']
TransBoost-ConvNext-T|82.46|28590000.0|null|[']']
NoisyStudent (EfficientNet-B2)|82.4|9200000.0|null|['ImageNet-1k only', 'JFT-300M', 'EfficientNet']
AutoFormer-base|82.4|54000000.0|11.0|['ImageNet-1k only', 'Transformer']
ResNet-152 (A2 + reg)|82.4|60200000.0|null|['CNN', 'ImageNet-1k only']
ConViT-B|82.4|86000000.0|17.0|['ImageNet-1k only', 'Transformer']
DeiT-B with iRPE-K|82.4|87000000.0|35.368|['ImageNet-1k only', 'Transformer']
Mega|82.4|90000000.0|null|[']']
ResMLP-B24 + STD|82.4|122600000.0|24.1|[']']
ViT-B/16-224+HTM|82.37|null|null|[']']
ColorNet|82.35|null|null|['CNN', 'ImageNet-1k only']
T2T-ViT-24|82.3|null|27.6|['ImageNet-1k only', 'Transformer']
ViT-S-48x1|82.3|null|null|[']']
MViTv2-T|82.3|24000000.0|4.7|[']']
SCARLET-A4|82.3|27800000.0|8.4|['CNN', 'ImageNet-1k only']
Sequencer2D-S|82.3|28000000.0|8.4|[']']
CrossViT-15+|82.3|28200000.0|6.1|['ImageNet-1k only', 'Transformer']
GLiT-Bases|82.3|96100000.0|17.0|['Transformer', 'ImageNet-1k only']
EViT (delete)|82.29|null|null|[']']
STViT-Swin-Ti|82.22|null|null|[']']
BossNet-T1|82.2|null|15.8|[']']
CAIT-XXS-36|82.2|17300000.0|14.3|['ImageNet-1k only', 'Transformer']
CvT-13-NAS|82.2|18000000.0|4.1|['ImageNet-1k only', 'Transformer']
ViTAE-S-Stage|82.2|19200000.0|12.0|['Transformer', 'ImageNet-1k only']
T2T-ViTt-19|82.2|39200000.0|19.6|['ImageNet-1k only', 'Transformer']
Evo-LeViT-384*|82.2|39600000.0|null|['Transformer', 'ImageNet-1k only']
Visformer-S|82.2|40200000.0|4.9|['ImageNet-1k only', 'Transformer']
ConViT-S+|82.2|48000000.0|10.0|['ImageNet-1k only', 'Transformer']
ConvMixer-1536/20|82.2|51600000.0|null|['Mixer', 'ImageNet-1k only']
DeepVit-L|82.2|55000000.0|null|['ImageNet-1k only', 'Transformer']
SENet-152|82.2|66600000.0|null|['Transformer', 'ImageNet-1k only']
ResNeXt-101 32x8d|82.2|88000000.0|null|['ImageNet-1k only', 'ResNeXt']
TransBoost-Swin-T|82.16|71710000.0|null|[']']
ResNeXt-101, 64x4d, S=2(224px)|82.13|88600000.0|18.8|['ImageNet-1k only', 'ResNeXt']
ToMe-ViT-S|82.11|null|null|[']']
PatchConvNet-S60|82.1|25200000.0|null|['ImageNet-1k only', 'PatchConvnet']
Pyramid ViG-S|82.1|27300000.0|4.6|[']']
ConvNeXt-T|82.1|29000000.0|4.5|[']']
CycleMLP-B2 + STD|82.1|30100000.0|4.0|[']']
CeiT-S|82.0|null|4.5|['ImageNet-1k only', 'Transformer']
DIFFQ (\u03bb=1e\u22122)|82.0|null|null|['CNN', 'ImageNet-1k only']
NEXcepTion-S|82.0|null|null|[']']
GC ViT-XT|82.0|20000000.0|2.6|[']']
Container-Light|82.0|20000000.0|3.2|['CNN', 'Transformer', 'ImageNet-1k only']
ViL-Small|82.0|24600000.0|4.86|['ImageNet-1k only', 'Transformer']
PVTv2-B2|82.0|25400000.0|4.0|['Transformer', 'ImageNet-1k only']
ActiveMLP-T|82.0|27200000.0|4.0|[']']
LITv2-S|82.0|28000000.0|3.7|[']']
DAT-T|82.0|29000000.0|4.6|[']']
Swin-T (SAMix+DM)|81.97|null|null|[']']
EViT (fuse)|81.96|null|null|[']']
Swin-T (AutoMix+DM)|81.92|null|null|[']']
GTP-LV-ViT-S/P8|81.9|null|4.8|[']']
T2T-ViT-19|81.9|null|17.0|['ImageNet-1k only', 'Transformer']
ResNet-101 (224 res, Fast Knowledge Distillation)|81.9|null|null|['ImageNet-1k only', 'ResNet']
Discrete Adversarial Distillation (ViT-B, 224)|81.9|null|null|[']']
RVT-S*|81.9|23300000.0|4.7|['ImageNet-1k only', 'Transformer']
PiT-S|81.9|23500000.0|2.9|['ImageNet-1k only', 'Transformer']
sMLPNet-T (ImageNet-1k)|81.9|24100000.0|null|['ImageNet-1k only', 'MLP']
ViL-Base-W|81.9|79000000.0|6.74|['ImageNet-1k only', 'Transformer']
Swin-T+SSA|81.89|null|null|[']']
AOGNet-40M-AN|81.87|null|7.51|['ImageNet-1k only']
FBNetV5|81.8|null|0.726|['Transformer', 'ImageNet-1k only']
NASViT-A5|81.8|null|0.757|[']']
ResNet-200|81.8|null|null|['ImageNet-1k only', 'ResNet']
RepMLPNet-L256|81.8|null|null|['MLP', 'ImageNet-1k only']
NEXcepTion-TP|81.8|null|null|[']']
NAT-Mini|81.8|20000000.0|2.7|['Transformer', 'ImageNet-1k only', 'Neighborhood Attention', 'NAT Transformer']
DiNAT-Mini|81.8|20000000.0|2.7|['Neighborhood Attention', 'NAT Transformer', 'ImageNet-1k only', 'Transformer']
ResNet-152 (A2)|81.8|60200000.0|null|['ImageNet-1k only']
MEAL V2 (ResNet-50) (380 res)|81.72|25600000.0|null|[']']
gSwin-T|81.71|21800000.0|3.6|['ImageNet-1k only', 'Swin-Transformer', 'MLP']
FBNetV5-A-CLS|81.7|null|0.685|[']']
T2T-ViT-14|81.7|null|null|['ImageNet-1k only', 'Transformer']
QnA-ViT-Tiny|81.7|16000000.0|2.5|[']']
AutoFormer-small|81.7|22900000.0|5.1|['ImageNet-1k only', 'Transformer']
Shift-T|81.7|28000000.0|4.4|[']']
BoTNet T3|81.7|33500000.0|7.3|['ImageNet-1k only', 'Transformer']
CvT-13|81.6|null|4.5|['ImageNet-1k only', 'Transformer']
ResNet-152 (SAM)|81.6|null|null|['ImageNet-1k only', 'ResNet']
UniRepLKNet-N|81.6|null|null|[']']
CloFormer-S|81.6|12300000.0|2.0|[']']
LeViT-256|81.6|17800000.0|1.066|['ImageNet-1k only', 'Transformer']
ReXNet_2.0|81.6|19000000.0|1.5|['ImageNet-1k only']
SE-CoTNetD-50|81.6|23100000.0|4.1|[']']
gMLP-B|81.6|73000000.0|31.6|['ImageNet-1k only', 'MLP']
CoE-Large + CondConv|81.5|null|0.214|[']']
GTP-DeiT-B/P8|81.5|null|13.1|[']']
NEXcepTion-T|81.5|null|null|[']']
NoisyStudent (EfficientNet-B1)|81.5|7800000.0|null|['JFT-300M', 'EfficientNet']
TinyViT-11M|81.5|11000000.0|2.0|['ImageNet-1k only', 'Transformer']
Transformer local-attention (NesT-T)|81.5|17000000.0|5.8|['ImageNet-1k only', 'Transformer']
T2T-ViT-14|81.5|21500000.0|9.6|['ImageNet-1k only', 'Transformer']
CrossViT-15|81.5|27400000.0|5.8|['ImageNet-1k only', 'Transformer']
PyConvResNet-101|81.49|42300000.0|null|['CNN', 'ImageNet-1k only']
NASViT-A4|81.4|null|0.591|[']']
DeiT-S with iRPE-QKV|81.4|null|9.77|['ImageNet-1k only', 'Transformer']
ViT-S @224 (DeiT III)|81.4|null|null|[']']
BiFormer-T (IN1k ptretrain)|81.4|null|null|[']']
MobileOne-S4 (distill)|81.4|14800000.0|2.9|[']']
SENet-101|81.4|49200000.0|null|['Transformer', 'ImageNet-1k only']
CCT-14/7x2|81.34|22360000.0|11.06|[']']
GFNet-S|81.33|null|null|[']']
ResNet-200 (Adversarial Autoaugment)|81.32|null|null|['ImageNet-1k only', 'ResNet']
MultiGrain PNASNet (300px)|81.3|null|null|['CNN', 'ImageNet-1k only']
ResNet-152|81.3|null|null|['ImageNet-1k only', 'ResNet']
ConViT-S|81.3|27000000.0|5.4|['ImageNet-1k only', 'Transformer']
Swin-T|81.3|29000000.0|4.5|[']']
SimpleNetV1-9m-correct-labels|81.24|9500000.0|null|[']']
Res2Net-101|81.23|null|null|['CNN', 'ImageNet-1k only']
ResNeXt-101 (Debiased+CutMix)|81.2|null|null|['ImageNet-1k only', 'ResNeXt']
PVT-S (+MixPro)|81.2|null|null|[']']
Swin-T (PuzzleMix+DM)|81.16|null|null|[']']
TransBoost-ResNet50-StrikesBack|81.15|25560000.0|null|[']']
ResNeSt-50|81.13|27500000.0|5.39|[']']
DeiT-S (SAMix+DM)|81.12|null|null|[']']
DeiT-S with iRPE-QK|81.1|null|9.412|['ImageNet-1k only', 'Transformer']
EfficientNet-B3|81.1|12000000.0|null|['ImageNet-1k only', 'EfficientNet']
VAN-B1|81.1|13900000.0|2.5|[']']
RevBiFPN-S3|81.1|19600000.0|3.33|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']
ResNet-152x2-SAM|81.1|236000000.0|null|['ImageNet-1k only', 'ResNet']
DynamicViT-S|81.09|null|null|[']']
ResNet-101 (SAMix)|81.08|44600000.0|null|['ImageNet-1k only', 'ResNet']
NASViT-A3|81.0|null|0.528|[']']
ViTAE-13M|81.0|13200000.0|6.8|['Transformer', 'ImageNet-1k only']
ResNet-101 (AutoMix)|80.98|44600000.0|null|['ImageNet-1k only', 'ResNet']
DeiT-S (AutoMix+DM)|80.91|null|null|[']']
ResNet-101|80.9|null|null|['ImageNet-1k only', 'ResNet']
CAIT-XXS-24|80.9|12000000.0|9.6|['ImageNet-1k only', 'Transformer']
DeiT-S with iRPE-K|80.9|22000000.0|9.318|['ImageNet-1k only', 'Transformer']
CentroidViT-S (arXiv, 2021-02)|80.9|22300000.0|9.4|[']']
ResNeXt-101  64x4|80.9|83600000.0|31.5|['ImageNet-1k only', 'ResNeXt']
AlphaNet-A6|80.8|null|0.709|[']']
ResNet-200 (Supervised Contrastive)|80.8|null|null|['ImageNet-1k only', 'ResNet']
UniNet-B0|80.8|11500000.0|0.555|[']']
LocalViT-S|80.8|22400000.0|4.6|['ImageNet-1k only', 'Transformer']
DAFT-conv (384 heads, 300 epochs)|80.8|23000000.0|null|[']']
ResMLP-S24|80.8|30000000.0|6.0|['MLP', 'ImageNet-1k only']
TinyViT-5M-distill (21k)|80.7|5400000.0|1.3|['ImageNet-22k', 'Transformer']
CoE-Large|80.7|95300000.0|0.194|[']']
MEAL V2 (ResNet-50) (224 res)|80.67|null|null|[']']
TokenLearner-ViT-8|80.66|null|null|[']']
ResNeSt-50-fast|80.64|27500000.0|4.34|[']']
TransBoost-ResNet152|80.64|60190000.0|null|[']']
ResNet-200 (Fast AA)|80.6|null|null|['ImageNet-1k only', 'ResNet']
CaiT-XXS (+MixPro)|80.6|null|null|[']']
ResNeXt-101 (CutMix)|80.53|null|null|['ImageNet-1k only', 'ResNeXt']
NASViT-A2|80.5|null|0.421|[']']
Attention-92|80.5|null|null|['CNN', 'ImageNet-1k only']
NAT-M4|80.5|9100000.0|null|['CNN', 'ImageNet-1k only']
IPT-T|80.5|14000000.0|2.3|[']']
GLiT-Smalls|80.5|24600000.0|4.4|['Transformer', 'ImageNet-1k only']
HCGNet-C|80.5|42200000.0|7.1|['CNN', 'ImageNet-1k only']
DVT (T2T-ViT-12)|80.43|null|1.7|['ImageNet-1k only', 'Transformer']
UniNet-B1|80.4|14000000.0|0.99|[']']
DeiT-S (T2)|80.4|22000000.0|null|['Transformer', 'ImageNet-1k only']
ResNet50 (A1)|80.4|25000000.0|null|['CNN', 'ImageNet-1k only']
gSwin-VT|80.32|15500000.0|2.3|['ImageNet-1k only', 'Swin-Transformer', 'MLP']
AlphaNet-A5|80.3|null|0.491|[']']
ResNet-50+AutoDropout+RandAugment|80.3|null|null|['ImageNet-1k only', 'ResNet']
ReXNet_1.5|80.3|9700000.0|0.86|['ImageNet-1k only']
CCT-16/7x2|80.28|null|null|['Transformer', 'ImageNet-1k only']
DeiT-S (PuzzleMix+DM)|80.25|null|null|[']']
iAFF-ResNeXt-50-32x4d|80.22|34700000.0|null|['ImageNet-1k only', 'ResNeXt']
UniRepLKNet-P|80.2|null|null|[']']
FixEfficientNet-B0|80.2|5300000.0|1.6|['ImageNet-1k only', 'EfficientNet']
DAFT-conv (16 heads)|80.2|20300000.0|null|[']']
ConvMLP-L|80.2|42700000.0|null|['CNN', 'MLP', 'ImageNet-1k only']
ResNet-50 (224 res, Fast Knowledge Distillation)|80.1|null|null|['ImageNet-1k only', 'ResNet']
DAFT-conv (384 heads, 200 epochs)|80.1|23000000.0|null|[']']
Inception ResNet V2|80.1|55800000.0|null|['ImageNet-1k only', 'ResNet']
RandWire-WS|80.1|61500000.0|7.9|['CNN', 'ImageNet-1k only']
WideNet-H|80.09|63000000.0|null|['Transformer', 'ImageNet-1k only']
CoE-Small + CondConv + PWLU|80.0|null|0.1|[']']
BasisNet-MV3|80.0|null|0.198|[']']
AlphaNet-A4|80.0|null|0.444|[']']
MogaNet-T (256res)|80.0|5200000.0|1.44|['CNN']
MobileOne-S3 (distill)|80.0|10100000.0|1.8|[']']
LeViT-192|80.0|10400000.0|0.624|['ImageNet-1k only', 'Transformer']
ResNet-101|80.0|44400000.0|null|['ImageNet-1k only', 'ResNet']
ResNet-200|79.9|null|null|['ImageNet-1k only', 'ResNet']
RegNetY-8.0GF|79.9|39200000.0|8.0|['CNN', 'ImageNet-1k only']
ViT-B/16-SAM|79.9|87000000.0|null|['ImageNet-1k only', 'Transformer']
TransBoost-ResNet101|79.86|44550000.0|null|[']']
SKNet-101|79.81|48900000.0|8.46|['CNN', 'ImageNet-1k only']
FixResNet-50 CutMix|79.8|null|null|['ImageNet-1k only', 'ResNet']
CSPResNeXt-50 + Mish|79.8|null|null|['CNN', 'ImageNet-1k only']
kNN-CLIP|79.8|null|null|['Memory-Centric', 'CLIP Pre-trained']
CloFormer-XS|79.8|7200000.0|1.1|[']']
EfficientNet-B2|79.8|9200000.0|1.0|['ImageNet-1k only', 'EfficientNet']
GC ViT-XXT|79.8|12000000.0|2.1|[']']
CSPResNeXt-50 (Mish+Aug)|79.8|20500000.0|null|['CNN', 'ImageNet-1k only']
DAFT-full|79.8|22600000.0|null|[']']
DVT (T2T-ViT-10)|79.74|null|0.7|['ImageNet-1k only', 'Transformer']
NASViT-A1|79.7|null|0.309|[']']
GPaCo (ResNet-50)|79.7|null|null|[']']
ResMLP-36|79.7|45000000.0|null|['MLP', 'ImageNet-1k only']
Grafit (ResNet-50)|79.6|null|null|['ImageNet-1k only', 'ResNet']
LeViT-128|79.6|8800000.0|0.376|['ImageNet-1k only', 'Transformer']
ResT-Small|79.6|13660000.0|1.9|[']']
GTP-DeiT-S/P8|79.5|null|3.4|[']']
ReXNet_1.3|79.5|7600000.0|0.66|['ImageNet-1k only']
WideNet-L|79.49|40000000.0|null|['ImageNet-1k only']
ResNet-50 (SAMix)|79.41|25600000.0|null|['ImageNet-1k only', 'ResNet']
AlphaNet-A3|79.4|null|0.357|[']']
MultiGrain R50-AA-500|79.4|null|null|['ImageNet-1k only']
ResNet-50 (Adversarial Autoaugment)|79.4|null|null|['ImageNet-1k only', 'ResNet']
ResMLP-24|79.4|null|null|['CNN', 'ImageNet-1k only']
EdgeNeXt-S|79.4|5600000.0|2.6|['CrossCovarianceAttention', 'Transformer', 'CNN', 'ImageNet-1k only']
TinyNet (GhostNet-A)|79.4|11900000.0|0.591|[']']
MobileOne-S4|79.4|14800000.0|2.9|[']']
RegNetY-4.0GF|79.4|20600000.0|4.0|['CNN', 'ImageNet-1k only']
SENet-50|79.4|28020000.0|null|['Transformer', 'ImageNet-1k only']
ScaleNet-152|79.38|null|11.2|['CNN', 'ImageNet-1k only']
LIP-ResNet-101|79.33|42900000.0|null|['CNN', 'ImageNet-1k only']
MobileViTv3-S|79.3|5800000.0|1.841|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
RedNet-152|79.3|34000000.0|6.8|['Transformer', 'ImageNet-1k only']
ResNet-50 (AutoMix)|79.25|25600000.0|null|['ImageNet-1k only', 'ResNet']
PS-KD (ResNet-152 + CutMix)|79.24|null|null|['ImageNet-1k only', 'ResNet']
ResNet-101 (JFT-300M Finetuning)|79.2|null|null|['JFT-300M', 'ResNet']
RVT-Ti*|79.2|10900000.0|1.3|['ImageNet-1k only', 'Transformer']
Multiscale DEQ (MDEQ-XL)|79.2|81000000.0|null|['ImageNet-1k only']
SimpleNetV1-5m-correct-labels|79.12|5700000.0|null|[']']
AlphaNet-A2|79.1|null|0.317|[']']
AA-ResNet-152|79.1|null|null|['ImageNet-1k only']
FixResNet-50|79.1|null|null|['ImageNet-1k only', 'ResNet']
Diffusion Classifier|79.1|null|null|[']']
TinyViT-5M|79.1|5400000.0|1.3|['ImageNet-1k only', 'Transformer']
MobileOne-S2 (distill)|79.1|7800000.0|1.3|[']']
PiT-XS|79.1|10600000.0|1.4|['ImageNet-1k only', 'Transformer']
UniNet-B0|79.1|11900000.0|0.56|[']']
RedNet-101|79.1|25600000.0|4.7|['ImageNet-1k only']
ResNet-50 (UDA)|79.04|null|null|['ImageNet-1k only', 'ResNet']
ScaleNet-101|79.03|null|7.5|['ImageNet-1k only']
TransBoost-ResNet50|79.03|null|null|[']']
Co-ResNet-152|79.03|60000000.0|null|[']']
MobileNetV3_large_x1_0_ssld|79.0|5470000.0|null|['ImageNet-1k only']
RevBiFPN-S2|79.0|10600000.0|1.37|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']
ConvMLP-M|79.0|17400000.0|null|['ImageNet-1k only']
Xception|79.0|22855952.0|null|['ImageNet-1k only']
SpineNet-143|79.0|60500000.0|9.1|['ImageNet-1k only']
Mixer-B/8-SAM|79.0|64000000.0|null|['ImageNet-1k only']
InceptionV3 (FRN layer)|78.95|null|null|['ImageNet-1k only']
ResNet-152 + SWA|78.94|null|null|['ImageNet-1k only', 'ResNet']
ECA-Net (ResNet-152)|78.92|57400000.0|10.83|['ImageNet-1k only', 'ResNet']
AlphaNet-A1|78.9|null|0.279|[']']
MixNet-L|78.9|7300000.0|0.565|['ImageNet-1k only']
CeiT-T (384 finetune res)|78.8|null|3.6|['ImageNet-1k only', 'Transformer']
NoisyStudent (EfficientNet-B0)|78.8|5300000.0|null|['JFT-300M', 'EfficientNet']
EfficientNet-B1|78.8|7800000.0|0.7|['ImageNet-1k only', 'EfficientNet']
ResNet-50|78.8|25500000.0|null|['ResNet']
SGE-ResNet101|78.798|44550000.0|7.858|['ImageNet-1k only']
RepVGG-B2|78.78|80310000.0|18.4|['CNN', 'ImageNet-1k only']
ResNet-50|78.76|null|null|['ImageNet-1k only', 'ResNet']
SAMix+DM (ResNet-50 RSB A3)|78.75|null|null|[']']
ResNet-50|78.7|null|null|['ImageNet-1k only', 'ResNet']
SReT-LT (Fast Knowledge Distillation)|78.7|5000000.0|1.2|['ImageNet-1k only', 'Transformer']
PVTv2-B1|78.7|13100000.0|2.1|['ImageNet-1k only']
ECA-Net (ResNet-101)|78.65|42490000.0|7.35|['ImageNet-1k only', 'ResNet']
MobileViTv3-1.0|78.64|null|1.876|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
