name|accuracy|params|tags|id
CPN(ResNet-101)|46.27|null|['ResNet']|2004.01547v1
MultiMAE (ViT-B)|46.2|null|[']']|2204.01678v1
DRAN(ResNet-101)|46.18|null|['ResNet']|null
PyConvSegNet-152|45.99|null|['CNN']|2006.11538v1
DNL|45.97|null|[']']|2006.06668v2
ACNet (ResNet-101)|45.90|null|[']']|1911.01664v1
ACNet\n(ResNet-101)|45.90|null|[']']|1911.01664v1
HRViT-b1 (SegFormer, SS)|45.88|null|['Transformer', 'multiscale']|2111.01236v2
OCR(HRNetV2-W48)|45.66|null|[']']|1909.11065v6
SPNet (ResNet-101)|45.6|null|['ResNet']|2003.13328v1
Swin-T (UPerNet) MoBY|45.58|null|['Transformer', 'Swin-Transformer']|2105.04553v2
DAT-T (UperNet)|45.54|null|[']']|2201.00520v3
iBOT (ViT-S/16)|45.4|null|[']']|2111.07832v3
EANet\n(ResNet-101)|45.33|null|[']']|2105.02358v2
OCR (ResNet-101)|45.28|null|[']']|1909.11065v6
Asymmetric ALNN|45.24|null|[']']|1908.07678v5
Light-Ham (VAN-Small, D=256)|45.2|null|[']']|2109.04553v2
LaU-regression-loss|45.02|null|['CNN']|1911.05250v2
PSPNet|44.94|null|[']']|1612.01105v2
tiny-MOAT-2 (IN-1K pretraining, single scale)|44.9|null|[']']|2210.01820v2
CFNet(ResNet-101)|44.89|null|['ResNet']|null
EncNet|44.65|null|[']']|1803.08904v1
LaU-offset-loss|44.55|null|['CNN']|1911.05250v2
EncNet + JPU|44.34|null|['CNN']|1903.11816v1
SGR (ResNet-101)|44.32|null|[']']|null
XCiT-S12/8 (Semantic-FPN)|44.2|null|['Transformer']|2106.09681v2
Auto-DeepLab-L|43.98|null|[']']|1901.02985v2
PSANet (ResNet-101)|43.77|null|[']']|null
DSSPN (ResNet-101)|43.68|null|[']']|1803.06067v1
PSPNet (ResNet-152)|43.51|null|[']']|1612.01105v2
PSPNet\n(ResNet-101)|43.29|null|[']']|1612.01105v2
HRNetV2|43.2|null|[']']|1904.04514v1
SeMask (SeMask Swin-T FPN)|43.16|null|[']']|2112.12782v3
tiny-MOAT-1 (IN-1K pretraining, single scale)|43.1|null|[']']|2210.01820v2
VAN-Small|42.9|null|[']']|2202.09741v5
PoolFormer-M48|42.7|null|[']']|2111.11418v3
UperNet (ResNet-101)|42.66|null|[']']|1807.10221v1
tiny-MOAT-0 (IN-1K pretraining, single scale)|41.2|null|[']']|2210.01820v2
RefineNet|40.7|null|[']']|1611.06612v3
FBNetV5|40.4|null|[']']|2111.10007v2
ConvMLP-L|40|null|[']']|2109.04454v2
ConvMLP-M|38.6|null|[']']|2109.04454v2
VAN-Tiny|38.5|null|[']']|2202.09741v5
A2MIM (ResNet-50)|38.3|null|[']']|2205.13943v4
iBOT (ViT-B/16) (linear head)|38.3|null|[']']|2111.07832v3
SegFormer-B0|37.4|null|[']']|2105.15203v3
MUXNet-m + PPM|35.8|null|['CNN']|2003.13880v2
ConvMLP-S|35.8|null|[']']|2109.04454v2
MUXNet-m + C1|32.42|null|['CNN']|2003.13880v2
DilatedNet|32.31|null|['CNN']|1511.07122v3
FCN|29.39|null|['CNN']|1411.4038v2
SegNet|21.64|null|['CNN']|1511.00561v3
InternImage-H (M3I Pre-training)|null|null|['DCN', 'Deformable Convolution']|2211.05778v4
