name|accuracy|params|tags|id
ResNet-50 NAS-FCOS @256|39.8|null|[']']|1906.04423v4
A2MIM (ResNet-50 2x)|39.8|null|[']']|2205.13943v4
FPN (ResNet101 backbone)|39.5|null|['FPN']|1708.08169v1
RetinaMask (ResNet-50-FPN)|39.4|null|['FPN']|1901.03353v1
PP-YOLO (320x320)|39.3|null|[']']|2007.12099v3
AA-ResNet-10 + RetinaNet|39.2|null|[']']|1904.09925v5
MAL (ResNet50, single-scale)|39.2|null|['ResNet', 'single scale']|1912.02252v1
RetinaNet (ResNet-101-FPN)|39.1|null|['FPN']|1708.02002v2
Cascade R-CNN (ResNet-101-FPN+)|38.8|null|['FPN']|1712.00726v1
M2Det (ResNet-101, single-scale)|38.8|null|[']']|1811.04533v3
SaccadeNet (DLA-34-DCN)|38.5|null|['DCN']|2003.12125v1
Mask R-CNN (ResNet-101-FPN)|38.2|null|['FPN', 'ResNet']|1703.06870v3
WSMA-Seg|38.1|null|[']']|1904.13300v3
Faster R-CNN + FPN + CGD|37.9|null|['FPN']|1907.09665v10
CornerNet511 (Hourglass-52, single-scale)|37.8|null|[']']|1808.01244v2
RefineDet512+ (VGG-16)|37.6|null|[']']|1711.06897v3
DeformConv-R-FCN (Aligned-Inception-ResNet)|37.5|null|[']']|1703.06211v3
Faster R-CNN (ImageNet+300M)|37.4|null|[']']|1707.02968v2
Mask R-CNN (Bottleneck-injected ResNet-50, FPN)|36.9|null|['FPN', 'ResNet']|2011.12913v2
Faster R-CNN + TDM|36.8|null|[']']|1612.06851v2
Cascade R-CNN (ResNet-50-FPN+)|36.5|null|['FPN']|1712.00726v1
RefineDet512 (ResNet-101)|36.4|null|[']']|1711.06897v3
Faster R-CNN + FPN|36.2|null|['FPN']|1612.03144v2
Faster R-CNN (Bottleneck-injected ResNet-50 and FPN)|35.9|null|['FPN', 'ResNet']|2011.12913v2
Faster R-CNN (box refinement, context, multi-scale testing)|34.9|null|['multiscale']|1512.03385v1
MobileNetV2 NAS-FCOS @256|34.7|null|[']']|1906.04423v4
Faster R-CNN|34.7|null|[']']|1611.10012v3
CornerNet-Squeeze|34.4|null|[']']|1904.08900v2
MultiPath Network|33.2|null|[']']|1604.02135v2
ION|33.1|null|[']']|1512.04143v1
RefineDet512 (VGG-16)|33|null|[']']|1711.06897v3
YOLOv3 + Darknet-53|33.0|null|['YOLO']|1804.02767v1
YOLOX-Tiny(416x416, single-scale)|32.8|null|['YOLO']|2107.08430v2
SSD512|28.8|null|[']']|1512.02325v5
EdgeNeXt|27.9|null|['CNN', 'Transformer']|2206.10589v3
MnasFPN (MobileNetV2)|26.1|null|['FPN']|1912.01106v2
ESPNetv2-512|26.0|null|[']']|1811.11431v3
YOLOX-Nano(416x416, single-scale)|25.8|null|[']']|2107.08430v2
MnasFPN (MobileNetV3)|25.5|null|['FPN']|1912.01106v2
MnasFPN (MNASNet-B1)|24.6|null|['FPN']|1912.01106v2
MnasFPN x0.7 (MobileNetV2)|23.8|null|['FPN']|1912.01106v2
MobielNet-v1-SSD-300x300+CGD|21.4|null|[']']|1907.09665v10
Fast-RCNN|19.7|null|[']']|1504.08083v2
MobileNet|19.3|null|[']']|1704.04861v1
CenterMask-VoVNet99 (multi-scale)|null|null|['multiscale']|1911.06667v6
DyHead (ResNet-101)|null|null|[']']|2106.08322v1
Mask R-CNN (HRNetV2p-W32 + cascade)|null|null|[']']|1908.07919v2
FoveaBox (ResNeXt-101)|null|null|['ResNeXt']|1904.03797v2
VirTex Mask R-CNN (ResNet-50-FPN)|null|null|['FPN', 'ResNet']|2006.06666v3
Centermask + ResNet101|null|null|['ResNet']|1911.06667v6
PAFNet (ResNet50-vd)|null|null|['ResNet']|2104.13534v1
IoU-Net+EnergyRegression|null|null|[']']|1909.12297v4
Cascade R-CNN (HRNetV2p-W48)|null|null|[']']|1908.07919v2
ISTR (ResNet50-FPN-3x, single-scale)|null|null|[']']|2105.00637v2
FoveaBox (ResNeXt-101)|null|null|['ResNeXt']|1904.03797v2
InternImage-H (M3I Pre-training)|null|null|['DCN', 'Giant', 'DINO', 'Deformable Convolution']|2211.05778v4
