name|accuracy|params|tags|id
Mask R-CNN (ResNet-101-FPN)|40.0|null|['FPN', 'ResNet']|1703.06870v3
FPN+|39.8|null|['FPN']|1612.03144v2
FoveaBox+aLRP Loss (ResNet-50, 500 scale)|39.7|null|['ResNet']|2009.13592v4
Grid R-CNN (ResNet-50-FPN)|39.6|null|['FPN', 'ResNet']|1811.12030v1
Mask R-CNN (ResNet-50, ACNet)|39.5|null|['ResNet']|1904.03579v1
FSAF (ResNet-101, anchor-based branches)|39.3|null|['ResNet']|1903.00621v1
Mask R-CNN (HRNetV2p-W18)|39.2|null|[']']|1908.07919v2
Mask R-CNN (ResNet-50 + 1 NL)|39.0|null|['ResNet']|1711.07971v3
FoveaBox (ResNet-101-FPN, 800x800)|38.9|null|['FPN', 'ResNet']|1904.03797v2
FCOS (ResNet-50-FPN + improvements)|38.6 |null|['FPN', 'ResNet']|1904.01355v5
RPDet (ResNet-50)|38.6|null|['ResNet']|1904.11490v2
Libra R-CNN (ResNet-50 FPN)|38.5|null|['FPN', 'ResNet']|1904.02701v1
Mask R-CNN (ResNet-50-FPN, GRoIE)|38.4|null|['FPN', 'ResNet']|2004.13665v2
CornerNet511 (Hourglass-104)|38.4|null|[']']|1808.01244v2
FoveaBox+Retina (ResNet-50)|38.1|null|['ResNet']|1904.03797v2
Faster R-CNN (HRNetV2p-W18)|38.0|null|[']']|1908.07919v2
FoveaBox (ResNet-101-FPN, 600x600)|38|null|['FPN', 'ResNet']|1904.03797v2
FSAF (ResNet-101)|37.9|null|['ResNet']|1903.00621v1
Mask R-CNN (ResNet-50-FPN)|37.7|null|['FPN', 'ResNet']|1703.06870v3
Faster R-CNN (ResNet-50-FPN, GRoIE)|37.5|null|['FPN', 'ResNet']|2004.13665v2
Mask R-CNN (ResNeXt-101-FPN)|36.7|null|['FPN', 'ResNeXt']|1703.06870v3
FoveaBox (ResNet-50-FPN, 600x600)|36.0|null|['FPN', 'ResNet']|1904.03797v2
FSAF (ResNet-50)|35.9|null|['ResNet']|1903.00621v1
GHM-C + GHM-R (RetinaNet-FPN-ResNet-50, M=30)|35.8|null|['FPN']|1811.05181v1
Online Fg Bal. Sampling+Hard Negative Mining (ResNet-50)|35.6|null|['ResNet']|1909.09777v3
M2Det (ResNet-1o1, 320x320)|34.1|null|['ResNet']|1811.04533v3
Faster R-CNN (Res2Net-50)|33.7|null|[']']|1904.01169v3
M2Det (VGG-16, 320x320)|33.2|null|[']']|1811.04533v3
SOLQ (Swin-L, single scale)|null|null|['single scale', 'Transformer']|2106.02351v3
YOLOR-D6 (1280, single-scale, 31 fps)|null|null|[']']|2105.04206v1
EfficientDet-D7x (single-scale)|null|null|['single scale']|1911.09070v7
YOLOR-P6 (1280, single-scale, 72 fps)|null|null|[']']|2105.04206v1
FocalNet-T (SRF, Cascade Mask R-CNN)|null|null|[']']|2203.11926v3
R3-CNN (ResNet-50-FPN, GRoIE)|null|null|['FPN', 'ResNet']|2104.01329v2
Mask R-CNN (HRNetV2p-W32, cascade)|null|null|[']']|1908.07919v2
Shift-T|null|null|[']']|2201.10801v1
DyHead (ResNeXt-64x4d-101-DCN, multi scale)|null|null|[']}]</script']|2106.08322v1
