Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,MOAT-4 22K+1K,89.1,0.9014925373134325,483.2M,['ImageNet-22k'],2210.01820v2
Image Classification,ImageNet,FD (CLIP ViT-L-336),89.0,0.898507462686567,307M,"['ImageNet-22k', 'CLIP data ']",2205.14141v3
Image Classification,ImageNet,Last Layer Tuning with Newton Step (ViT-G/14)),88.9,0.8955223880597015,null,[']'],2211.13403v1
Image Classification,ImageNet,TokenLearner L/8 (24+11),88.87,0.8946268656716417,460M,"['Transformer', 'JFT-300M']",2106.11297v4
Image Classification,ImageNet,"MaxViT-B (512res, JFT)",88.82,0.8931343283582086,null,['JFT-300M'],2204.01697v4
Image Classification,ImageNet,MAWS (ViT-L),88.8,0.8925373134328356,null,[']'],2303.13496v3
Image Classification,ImageNet,"MViTv2-H (512 res, ImageNet-21k pretrain)",88.8,0.8925373134328356,667M,['ImageNet-22k'],2112.01526v2
Image Classification,ImageNet,"MaxViT-XL (512res, 21K)",88.7,0.8895522388059701,null,[']'],2204.01697v4
Image Classification,ImageNet,"MaxViT-B (384res, JFT)",88.69,0.8892537313432833,null,[']'],2204.01697v4
Image Classification,ImageNet,ALIGN (EfficientNet-L2),88.64,0.8877611940298507,480M,"['ALIGN', 'EfficientNet']",2102.05918v2
Image Classification,ImageNet,EfficientNet-L2-475 (SAM),88.61,0.8868656716417909,480M,"['JFT-300M', 'EfficientNet']",2010.01412v3
Image Classification,ImageNet,ViT-B/16,88.6,0.8865671641791042,86M,[']'],2302.05442v1
Image Classification,ImageNet,BEiT-L (ViT; ImageNet-22K pretrain),88.6,0.8865671641791042,331M,"['ImageNet-22k', 'Transformer']",2106.08254v2
Image Classification,ImageNet,SWAG (ViT H/14),88.6,0.8865671641791042,633.5M,[']'],2201.08371v2
Image Classification,ImageNet,ViT-H/14,88.55,0.8850746268656714,null,"['JFT-300M', 'Transformer']",2010.11929v2
Image Classification,ImageNet,CoAtNet-3 @384,88.52,0.8841791044776117,168M,[']'],2106.04803v2
Image Classification,ImageNet,"MaxViT-XL (384res, 21K)",88.51,0.8838805970149254,null,['ImageNet-22k'],2204.01697v4
Image Classification,ImageNet,mPLUG-2,88.5,0.8835820895522387,null,[']'],2302.00402v1
Image Classification,ImageNet,OpenCLIP ViT-H/14,88.5,0.8835820895522387,null,[']'],2212.07143v1
Image Classification,ImageNet,FixEfficientNet-L2,88.5,0.8835820895522387,480M,"['JFT-300M', 'EfficientNet']",2003.08237v5
Image Classification,ImageNet,ViTAE-H + MAE (448),88.5,0.8835820895522387,644M,[']'],2202.10108v2
Image Classification,ImageNet,"MaxViT-L (512res, 21K)",88.46,0.8823880597014923,null,[']'],2204.01697v4
Image Classification,ImageNet,"MViTv2-L (384 res, ImageNet-21k pretrain)",88.4,0.8805970149253731,218M,['ImageNet-22k'],2112.01526v2
Image Classification,ImageNet,NoisyStudent (EfficientNet-L2),88.4,0.8805970149253731,480M,"['JFT-300M', 'EfficientNet']",1911.04252v4
Image Classification,ImageNet,"MaxViT-B (512res, 21K)",88.38,0.8799999999999997,null,['ImageNet-22k'],2204.01697v4
Image Classification,ImageNet,Top-k DiffSortNets (EfficientNet-L2),88.37,0.8797014925373134,null,"['EfficientNet', 'JFT-300M']",2206.07290v1
Image Classification,ImageNet,Adlik-ViT-SG+Swin_large+Convnext_xlarge(384),88.36,0.8794029850746267,1827M,[']'],2201.03545v2
Image Classification,ImageNet,V-MoE-H/14 (Every-2),88.36,0.8794029850746267,7200M,"['JFT-300M', 'Transformer']",2106.05974v1
Image Classification,ImageNet,"MaxViT-L (384res, 21K)",88.32,0.8782089552238802,null,['ImageNet-22k'],2204.01697v4
Image Classification,ImageNet,Unicom (ViT-L/14@336px) (Finetuned),88.3,0.8776119402985072,null,[']'],2304.05884v1
Image Classification,ImageNet,"PeCo (ViT-H, 448)",88.3,0.8776119402985072,656M,"['Transformer', 'ImageNet-1k only']",2111.12710v3
Image Classification,ImageNet,"MaxViT-B (384res, 21K)",88.24,0.8758208955223877,null,['ImageNet-22k'],2204.01697v4
Image Classification,ImageNet,V-MoE-H/14 (Last-5),88.23,0.8755223880597015,2700M,"['JFT-300M', 'Transformer']",2106.05974v1
Image Classification,ImageNet,dBOT ViT-H (CLIP as Teacher),88.2,0.8746268656716417,null,['CLIP data '],2209.03917v3
Image Classification,ImageNet,"CAFormer-B36 (384 res, 21K)",88.1,0.8716417910447758,99M,['ImageNet-22k'],2210.13452v3
Image Classification,ImageNet,VIT-H/14,88.08,0.8710447761194028,656M,"['JFT-300M', 'Transformer']",2106.05974v1
