Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,MogaNet-S,83.4,0.7313432835820896,25M,['CNN'],2211.03295v3
Image Classification,ImageNet,GC ViT-T,83.4,0.7313432835820896,28M,[],2206.09959v5
Image Classification,ImageNet,ResNeXt-101 32x4d (semi-weakly sup.),83.4,0.7313432835820896,42M,['ResNeXt'],1905.00546v1
Image Classification,ImageNet,Sequencer2D-L,83.4,0.7313432835820896,54M,[],2205.01972v4
Image Classification,ImageNet,sMLPNet-B (ImageNet-1k),83.4,0.7313432835820896,65.9M,"['ImageNet-1k only', 'MLP']",2109.05422v2
Image Classification,ImageNet,"SE-ResNeXt-101, 64x4d, S=2(416px)",83.34,0.7295522388059701,98M,"['ImageNet-1k only', 'ResNeXt']",2011.14660v4
Image Classification,ImageNet,CvT-21 (384 res),83.3,0.7283582089552236,,"['ImageNet-1k only', 'Transformer']",2103.15808v1
Image Classification,ImageNet,T2T-ViT-14|384,83.3,0.7283582089552236,,"['ImageNet-1k only', 'Transformer']",2101.11986v3
Image Classification,ImageNet,CeiT-S (384 finetune res),83.3,0.7283582089552236,24.2M,"['ImageNet-1k only', 'Transformer']",2103.11816v2
Image Classification,ImageNet,LV-ViT-S,83.3,0.7283582089552236,26M,[],2104.10858v3
Image Classification,ImageNet,MOAT-0 1K only,83.3,0.7283582089552236,27.8M,[],2210.01820v2
Image Classification,ImageNet,EfficientNet-B5,83.3,0.7283582089552236,30M,"['ImageNet-1k only', 'EfficientNet']",1905.11946v5
Image Classification,ImageNet,Transformer local-attention (NesT-S),83.3,0.7283582089552236,38M,"['ImageNet-1k only', 'Transformer']",2105.12723v4
Image Classification,ImageNet,ViL-Medium-D,83.3,0.7283582089552236,39.7M,"['ImageNet-1k only', 'Transformer']",2103.15358v2
Image Classification,ImageNet,LITv2-M,83.3,0.7283582089552236,49M,[],2205.13213v5
Image Classification,ImageNet,Shift-B,83.3,0.7283582089552236,88M,[],2201.10801v1
Image Classification,ImageNet,MultiGrain PNASNet (450px),83.2,0.7253731343283581,,"['CNN', 'ImageNet-1k only']",1902.05509v2
Image Classification,ImageNet,Meta Pseudo Labels (ResNet-50),83.2,0.7253731343283581,,[],2003.10580v4
Image Classification,ImageNet,UniRepLKNet-T,83.2,0.7253731343283581,,[],2311.15599v2
Image Classification,ImageNet,TinyViT-11M-distill (21k),83.2,0.7253731343283581,11M,"['ImageNet-22k', 'Transformer']",2207.10666v1
