Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,CIFAR-10,PyramidNet-200 + CutMix,97.0,0.9487179487179488,,[],1905.04899v2
Image Classification,CIFAR-10,Wide-ResNet-40-2,97.0,0.9487179487179488,,[],2209.15031v2
Image Classification,CIFAR-10,ORN,97.0,0.9487179487179488,,[],1701.01833v2
Image Classification,CIFAR-10,WRN-16-8 with reSGHMC,96.0,0.9230769230769232,,[],2008.05367v3
Image Classification,CIFAR-10,ResNet_XnIDR,96.0,0.9230769230769232,,[],2111.10854v3
Image Classification,CIFAR-10,HCGNet-A1,96.0,0.9230769230769232,1.1M,[],1908.09699v3
Image Classification,CIFAR-10,WRN 28-10,96.0,0.9230769230769232,,[],2007.12927v4
Image Classification,CIFAR-10,AutoDropout,96.0,0.9230769230769232,,[],2101.01761v1
Image Classification,CIFAR-10,WRN-28-10 + SWA,96.0,0.9230769230769232,,[],1803.05407v3
Image Classification,CIFAR-10,ConvMixer-256/16,96.0,0.9230769230769232,1.34M,[],2201.09792v1
Image Classification,CIFAR-10,Wide ResNet+cutout,96.0,0.9230769230769232,,['ResNet'],1907.06916v2
Image Classification,CIFAR-10,Deep pyramidal residual network,96.0,0.9230769230769232,,[],1610.02915v4
Image Classification,CIFAR-10,CoPaNet-R-164,96.0,0.9230769230769232,,[],1709.10282v1
Image Classification,CIFAR-10,DenseNet (DenseNet-BC-190),96.0,0.9230769230769232,,[],1608.06993v5
Image Classification,CIFAR-10,"SKNet-29 (ResNeXt-29, 16\u00d732d)",96.0,0.9230769230769232,,['ResNeXt'],1903.06586v2
Image Classification,CIFAR-10,Fractional MP,96.0,0.9230769230769232,,[],1412.6071v4
Image Classification,CIFAR-10,"PDO-eConv (p8, 4.6M)",96.0,0.9230769230769232,,[],2007.10408v2
Image Classification,CIFAR-10,UPANets,96.0,0.9230769230769232,,[],2103.08640v2
Image Classification,CIFAR-10,"ViT (lightweight, MAE pretrained)",96.0,0.9230769230769232,3.64M,['Transformer'],2402.03752v1
Image Classification,CIFAR-10,NAS-RL,96.0,0.9230769230769232,,[],1611.01578v2
Image Classification,CIFAR-10,VGG11B(2x) + LocalLearning + CO,96.0,0.9230769230769232,,[],1901.06656v2
Image Classification,CIFAR-10,Residual Gates + WRN,96.0,0.9230769230769232,,[],1611.01260v2
Image Classification,CIFAR-10,"PDO-eConv (p8, 2.62M)",96.0,0.9230769230769232,,[],2007.10408v2
Image Classification,CIFAR-10,SimpleNetv2,96.0,0.9230769230769232,,[],1802.06205v1
Image Classification,CIFAR-10,ResNet56 with reSGHMC,96.0,0.9230769230769232,,['ResNet'],2008.05367v3
Image Classification,CIFAR-10,Mixer-S/16- SAM,96.0,0.9230769230769232,,[],2106.01548v3
Image Classification,CIFAR-10,PreActResNet18 (AMP),96.0,0.9230769230769232,,['ResNet'],2010.04925v4
Image Classification,CIFAR-10,ConvMixer-256/8,96.0,0.9230769230769232,0.71M,[],2201.09792v1
Image Classification,CIFAR-10,Local Mixup Resnet18,95.0,0.8974358974358975,,[],2201.04368v1
Image Classification,CIFAR-10,ResNet-50x1-ACG (ImageNet-21K),95.0,0.8974358974358975,,[],2106.00116v4
Image Classification,CIFAR-10,ACN,95.0,0.8974358974358975,,[],1412.6806v3
Image Classification,CIFAR-10,Evolution ensemble,95.0,0.8974358974358975,,[],1703.01041v2
Image Classification,CIFAR-10,ResNet-18,95.0,0.8974358974358975,,"['ResNet-18', 'ResNet']",2206.13424v3
Image Classification,CIFAR-10,SimpleNetv1,95.0,0.8974358974358975,,[],1608.06037v8
Image Classification,CIFAR-10,ResNet-1001,95.0,0.8974358974358975,,['ResNet'],1603.05027v3
Image Classification,CIFAR-10,ResNet32 with reSGHMC,95.0,0.8974358974358975,,['ResNet'],2008.05367v3
Image Classification,CIFAR-10,ResNet-18+MM+FRL,95.0,0.8974358974358975,,[],2011.10951v2
Image Classification,CIFAR-10,CCT-6/3x1,95.0,0.8974358974358975,3.17M,['Transformer'],2104.05704v4
Image Classification,CIFAR-10,MomentumNet,95.0,0.8974358974358975,,[],2102.07870v3
Image Classification,CIFAR-10,SRM-ResNet-56,95.0,0.8974358974358975,,[],1903.10829v1
Image Classification,CIFAR-10,MixMatch,95.0,0.8974358974358975,,[],1905.02249v2
Image Classification,CIFAR-10,WRN-22-8 (Sparse Momentum),95.0,0.8974358974358975,,[],1907.04840v2
Image Classification,CIFAR-10,LP-BNN (ours) + cutout,95.0,0.8974358974358975,,[],2012.02818v2
Image Classification,CIFAR-10,Prodpoly,94.0,0.8717948717948718,,[],2006.13026v2
Image Classification,CIFAR-10,ResNet-9,94.0,0.8717948717948718,,[],2203.15331v2
Image Classification,CIFAR-10,Stochastic Depth,94.0,0.8717948717948718,,[],1603.09382v3
Image Classification,CIFAR-10,VGG-19 with GradInit,94.0,0.8717948717948718,20.03M,[],2102.08098v3
Image Classification,CIFAR-10,ResNet20 with reSGHMC,94.0,0.8717948717948718,,['ResNet'],2008.05367v3
Image Classification,CIFAR-10,"PDO-eConv (p6m,0.37M)",94.0,0.8717948717948718,,[],2007.10408v2
Image Classification,CIFAR-10,Evolution,94.0,0.8717948717948718,,[],1703.01041v2
Image Classification,CIFAR-10,RL+NT,94.0,0.8717948717948718,,[],1707.04873v2
Image Classification,CIFAR-10,Convolutional Performer for Vision (CPV),94.0,0.8717948717948718,1.3M,['Xformer'],2201.10271v1
Image Classification,CIFAR-10,ResNet+ELU,94.0,0.8717948717948718,,['ResNet'],1604.04112v4
Image Classification,CIFAR-10,Deep Complex,94.0,0.8717948717948718,,[],1705.09792v4
Image Classification,CIFAR-10,"PDO-eConv (p6,0.36M)",94.0,0.8717948717948718,,[],2007.10408v2
Image Classification,CIFAR-10,Stochastic Optimization of Plain Convolutional Neural Networks with Simple methods,94.0,0.8717948717948718,4.3M,[],2001.08856v1
Image Classification,CIFAR-10,Fitnet4-LSUV,94.0,0.8717948717948718,,[],1511.06422v7
Image Classification,CIFAR-10,ResNet 9 + Mish,94.0,0.8717948717948718,,['ResNet'],1908.08681v3
Image Classification,CIFAR-10,Tree+Max-Avg pooling,94.0,0.8717948717948718,,[],1509.08985v2
Image Classification,CIFAR-10,Standard ACNet,94.0,0.8717948717948718,,[],1904.03579v1
Image Classification,CIFAR-10,SA quadratic embedding,93.0,0.8461538461538461,,[],1911.03584v2
Image Classification,CIFAR-10,OTTT,93.0,0.8461538461538461,,['SNN'],2210.04195v2
Image Classification,CIFAR-10,SSCNN,93.0,0.8461538461538461,,[],1409.6070v1
Image Classification,CIFAR-10,NNCLR,93.0,0.8461538461538461,,[],2104.14548v2
Image Classification,CIFAR-10,Tuned CNN,93.0,0.8461538461538461,,[],1502.05700v2
Image Classification,CIFAR-10,Exponential Linear Units,93.0,0.8461538461538461,,[],1511.07289v5
Image Classification,CIFAR-10,BNM NiN,93.0,0.8461538461538461,,[],1511.02583v1
Image Classification,CIFAR-10,Universum Prescription,93.0,0.8461538461538461,,[],1511.03719v7
Image Classification,CIFAR-10,CMsC,93.0,0.8461538461538461,,[],1511.05635v1
Image Classification,CIFAR-10,NiN+APL,92.0,0.8205128205128205,,[],1412.6830v3
Image Classification,CIFAR-10,VDN,92.0,0.8205128205128205,,[],1507.06228v2
Image Classification,CIFAR-10,ResNet,92.0,0.8205128205128205,,[],2105.04319v3
Image Classification,CIFAR-10,SWWAE,92.0,0.8205128205128205,,[],1506.02351v8
Image Classification,CIFAR-10,FlexTCN-7,92.0,0.8205128205128205,0.67M,[],2110.08059v3
Image Classification,CIFAR-10,ReActNet-18,92.0,0.8205128205128205,,[],2104.08215v1
Image Classification,CIFAR-10,ResNet v2-20 (Mish activation),92.0,0.8205128205128205,,['ResNet'],1908.08681v3
Image Classification,CIFAR-10,DSN,91.0,0.7948717948717948,,[],1409.5185v2
Image Classification,CIFAR-10,BinaryConnect,91.0,0.7948717948717948,,[],1511.00363v3
Image Classification,CIFAR-10,CLS-GAN,91.0,0.7948717948717948,,[],1701.06264v6
Image Classification,CIFAR-10,MIM,91.0,0.7948717948717948,,[],1508.00330v2
Image Classification,CIFAR-10,Spectral Representations for Convolutional Neural Networks,91.0,0.7948717948717948,,[],1506.03767v1
Image Classification,CIFAR-10,"DLME (ResNet-18, linear)",91.0,0.7948717948717948,,[],2207.03160v2
Image Classification,CIFAR-10,RMDL (30 RDLs),91.0,0.7948717948717948,,[],1805.01890v2
Image Classification,CIFAR-10,Network in Network,91.0,0.7948717948717948,,[],1312.4400v3
Image Classification,CIFAR-10,Deep Networks with Internal Selective Attention through Feedback Connections,90.0,0.7692307692307693,,[],1407.3068v2
Image Classification,CIFAR-10,Maxout Network (k=2),90.0,0.7692307692307693,,[],1302.4389v4
Image Classification,CIFAR-10,ResNet-18,90.0,0.7692307692307693,,[],1911.05329v1
Image Classification,CIFAR-10,DNN+Probabilistic Maxout,90.0,0.7692307692307693,,[],1312.6116v2
Image Classification,CIFAR-10,GP EI,90.0,0.7692307692307693,,[],1206.2944v2
Image Classification,CIFAR-10,SEER (RegNet10B),90.0,0.7692307692307693,,[],2202.08360v2
Image Classification,CIFAR-10,APAC,89.0,0.7435897435897436,,[],1505.03229v1
Image Classification,CIFAR-10,ensemble of 7 models,89.0,0.7435897435897436,,[],1710.09829v2
Image Classification,CIFAR-10,DCNN+GFE,89.0,0.7435897435897436,,['DCN'],1710.02286v1
Image Classification,CIFAR-10,MCDNN,88.0,0.717948717948718,,[],1202.2745v1
Image Classification,CIFAR-10,RReLU,88.0,0.717948717948718,,[],1505.00853v2
Image Classification,CIFAR-10,Diffusion Classifier (zero-shot),88.0,0.717948717948718,,[],2303.16203v3
Image Classification,CIFAR-10,ReNet,87.0,0.6923076923076923,,[],1505.00393v3
Image Classification,CIFAR-10,An Analysis of Unsupervised Pre-training in Light of Recent Advances,86.0,0.6666666666666666,,[],1412.6597v4
Image Classification,CIFAR-10,cvpr_class,85.0,0.6410256410256411,,[],2110.00476v1
Image Classification,CIFAR-10,Stochastic Pooling,84.0,0.6153846153846154,,[],1301.3557v1
Image Classification,CIFAR-10,Improving neural networks by preventing co-adaptation of feature detectors,84.0,0.6153846153846154,,[],1207.0580v1
